"This is a required field.","Ce champ est obligatoire."
"Zipcode & city doesn't exist","Postcode & plaats bestaat niet"
"The coupon code "%1" is not valid.","Le code promo  "%1" n'est pas valide."
"modeles de smartphones disponibles","modèles de smartphones disponibles"
"Decouvrir","Découvrir"
"No Payment Methods","Aucune méthode de paiement"
"Je paie a la commande","Je paie à la commande"
"Je desire commander","Je désire commander"
"The transaction is cancelled.","La transaction est annulée."
"No Payment method available.","Non Mode de paiement disponible."
"Je veux un nouveau numero","Je veux un nouveau numéro"
"Configurez votre numero pour Panthere","Configurez votre numéro pour Panthère"
"Je desire recuperer un numero existant","Je désire récupérer un numéro existant"
"Je veux un nouveau numero","Je veux un nouveau numéro"
"Voulez-vous ajouter cet ou ces abonnement(s) a votre facture","Voulez-vous ajouter cet ou ces abonnement(s) à votre facture"
"Si vous etes deja abonne chez Orange, vous beneficiez d'une reduction de 5 €/mois.","Si vous êtes déjà abonné chez Orange, vous bénéficiez d'une réduction de 5 €/mois."
"Avez-vous un abonnement mobile d'au moins 10 €/mois ? *","Avez-vous un abonnement mobile d'au moins 10 €/mois ? *"
"Donnees personnelles","Données personnelles"
"Indépendant ou société","Independant ou societe"
"Selectionnez","Sélectionnez"
"Independant","Indépendant"
"Profession liberale sans numero de TVA","Profession libérale sans numéro de TVA"
"Profession liberale avec numero de TVA","Profession libérale avec numéro de TVA"
"Prenom","Prénom"
"Nationalite","Nationalité"
"Numero de passport","Numéro de passport"
"Numero","Numéro"
"Boite","Boîte"
"Mon adresse de livraison est identique a mon adresse de facturation","Mon adresse de livraison est identique à mon adresse de facturation"
"Je desire etre livre a une adresse differente de mon adresse de facturation","Je désire être livré à une adresse différente de mon adresse de facturation"
"Need accessories for you?","Besoin d'accessoires pour vous?"
"Je choisis une methode de paiement pour mon abonnement","Je choisis une méthode de paiement pour mon abonnement"
"N° de compte","N° de compte"
"Je choisis une methode de paiement pour mon telephone","Je choisis une méthode de paiement pour mon téléphone"
"Zipcode does not exist","Veuillez sélectionner votre rue dans la liste proposée."
"City does not exist","Veuillez sélectionner votre ville dans la liste proposée."
"Frequences","Fréquences"
"Video","Vidéo"
"Je paie a la commande","Je paie à la commande"
"Zipcode & city does not exist","Code postal et ville n'existe pas"
"Please use Proper Street Number.","Utilisez Proper Nombre de rue."
"Numero de telephone","Numéro de téléphone"
"A l attention de","A l’attention de"
"Numero de client","N° de client"
