"Add to Wish List", "Wish List"
"Add to Compare", "Compare"
"Your Checkout Progress", "Checkout Progress"
"Card Verification Number", "CVV"
"Items %1-%2 of %3","%3 <span class='view-all-products'>Products</span>"
"Regular Price", ""
"Shop By","Filter"
"Remove item", "Remove"
"Proceed to Checkout", "Go to Checkout"
"Grand Total", "Estimated Total"
"Review by", "By"
"View Order", "View"
"Update Shopping Cart", "Update Cart"
"Print Order", "Print"
"Move to Wish List","Move"
"Copy to Wish List","Copy"
"Move Selected to Wish List", "Move Selected"
"Copy Selected to Wish List", "Copy Selected"
"%1 items in wish list", "%1 items"
"1 item in wish list", "1 item"
"Continue to Shipping Information", "Select Shipping Method"
"1 item","1"
"%1 items","%1"
"Search entire store here...","Begin typing to search"
"Now Shopping by", "Refine"
"%1 Items", "%1 <span class='view-all-products'>Products</span>"
"You already have an account with us. Sign in or continue as guest.", "You already have an account with us. You can enter password to login or continue as guest."
"Proceed to Checkout", "Proceed to Checkout"
"Order Total", "Total"
"Recently Viewed", "Recently Viewed Products"
"Category", "Categories"
"Street Address","Street name and number"
"View Order", "View Order"
"Order Total", "Order Total"
"Apply Discount Code", "Promo Code"
"Apply Gift Card", "Gift Card ID"
"Edit Payment Information", "Edit"
"Edit Shopping Cart", "Edit"
"Item", "Product"
"Grand Total", "Total"
"Edit item parameters", "Edit"
"Menu ", "Menu"
