"Add to Wish List", "Liste de souhaits"
"Add to Compare", "Comparer"
"Your Checkout Progress", "Commander"
"Card Verification Number", "CVV"
"Items %1-%2 of %3","%3 <span class='view-all-products'>Produits</span>"
"Regular Price", ""
"Shop By","Filtre"
"Remove item", "Retirer"
"Proceed to Checkout", "Aller à la caisse"
"Grand Total", "Total estimé"
"Review by", "Par"
"View Order", "Vue"
"Update Shopping Cart", "Mise à jour panier"
"Print Order", "Impression"
"Move to Wish List","Déplacer"
"Copy to Wish List","Copie"
"Move Selected to Wish List", "Déplacer sélectionné"
"Copy Selected to Wish List", "Copier sélectionné"
"%1 items in wish list", "%1 articles"
"1 item in wish list", "1 article"
"Continue to Shipping Information", "Sélectionnez le mode de livraison"
"1 item","1"
"%1 items","%1"
"Search entire store here...","Commencez à taper à la recherche"
"Now Shopping by", "Affiner"
"%1 Items", "%1 <span class='view-all-products'>Produits</span>"
"You already have an account with us. Sign in or continue as guest.", "Vous avez déjà un compte chez nous. Vous pouvez entrer le mot de passe pour vous connecter ou continuer en tant qu'invité."
"Proceed to Checkout", "Passer à la caisse"
"Order Total", "Total"
"Recently Viewed", "Derniers produits consultés"
"Category", "Catégories"
"Street Address","Nom et numéro de la rue"
"View Order", "Voir l'ordre"
"Order Total", "Total de la commande"
"Apply Discount Code", "Code promo"
"Apply Gift Card", "Identifiant de carte-cadeau"
"Edit Payment Information", "modifier"
"Edit Shopping Cart", "modifier"
"Item", "Produit"
"Grand Total", "Total"
"Edit item parameters", "modifier"
"Menu ", "le menu"
"Shipping Availability", "Disponibilité de livraison"
"Immediate shipping", "Expédition immédiate"
"Be the first to review this product.", "Soyez le premier à donner votre avis sur ce produit !"
"Write a review", "Donnez votre avis"
"Tea Format", "Format du thé"
"Tea Types", "Types de thé"
"Tea Ranges", "Gammes de thé"
"Tea Flavours", "Saveurs de thé"
"Tea Strength", "La force du thé"
"Time of The Day", "Heure du jour"
"Let me feel", "Permettez-moi de sentir"
"Caffeine Level", "Niveau de caféine"
"Recommendations", "Recommandations"
"Brewing Water (step 1)", "Eau de brassage (étape 1)"
"Brewing Temperature (step 2)", "Température d'infusion (étape 2)"
"Brewing Tea (step 3)", "Thé de brassage (étape 3)"
"Brewing Volume (step 4)", "Volume de brassage (étape 4)"
"Brewing Duration (step 5)", "Durée de brassage (étape 5)"
"Brewing Information", "Conseils d'infusion"
"Recipes", "Recettes"
"Videos", "Vidéos"
"Combo Product", "Produit Combo"
"Pack Size", "Taille du paquet"
"Engravable", "Graver"
"Related SKU", "SKU associé"
"Bag Quantity", "Quantité de sac"
"Grammage", "Grammage"
"Servings", "portions"
"Promotion", "Promotion"
"Sale", "Vente"
"New Arrivals", "Nouvelles arrivées"
"Ship within 3 weeks", "Expédié sous 3 semaines"
"Ship within 2 weeks", "Expédié sous 2 semaines"
"Ship within 1 week", "Expédié sous 1 semaine"
"Tea mocktails / Cocktails", "Cocktails et cocktails"
"Cooking with Tea", "Cuisine au thé"
"Tea pairing", "Accord mets-thé"
"Morning", "Matin"
"Afternoon", "Après midi"
"Evening", "Soir"
"Night", "Nuit"
"All Day", "Toute la journée"
"Refreshed & Rejivinated", "Refreshed & Rejivinated"
"Calm & Chilled out", "Calme et refroidissement"
"Focused", "Focused"
"Energetic", "Énergique"
"Adventurous", "Aventureux"
"De-stressed", "Déstressé"
"Get Specials & Get Rewarded", "Je m’abonne à la newsletter"
"by subscribing to our newsletters!", ""
"Top Rated", "Meilleures notes"
"Need Help? Send Us Your Message", "Vous avez besoin d'aide ? Envoyez nous votre message"
"Price: Low to High", "Prix : croissant"
"Price: High to Low", "Prix : décroissant"
"About the Product", "A propos de ce produit"
"Recommended For", "Recommandé pour"
"grams per pack", "grammes par boîte"
"bags per pack", "sachets par boîte"
"servings per pack", "Portions par paquet"
"Recommended Time of The Day", "Heure recommandée du jour"
"Edit Cart", "Voir le panier"
"QTY", "Quantité"
"Promo Code", "Code promo"
"Gift Card ID", "Code de carte-cadeau"
"Shipping", "Livraison"
"Review & Payments", "Validation & paiement"
"Enter your promo code or gift card ID", "Entrer le code promo ou le code de carte-cadeau"
"Edit my Cart", "Voir le panier"
"Not yet calculated", "Pas encore calculé"
"Sorry, no quotes are available for this order at this time. Please make sure the address details are updated to proceed in checkout", "Désolé, aucune citation n'est disponible pour cette commande en ce moment. Assurez-vous que les détails de l'adresse sont mis à jour pour procéder à la caisse"
"In case we need to contact you for the delivery", "Au cas où nous aurions besoin de vous contacter pour la livraison"
"Thanks for your purchase %1", "Merci pour votre achat %1"
"Your order number is <span>%1</span>.", "Votre numéro de commande est <span>%1</span>."
"Your order is processing. You will receive a confirmation by email soon.","Votre commande est en cours de traitement. Vous recevrez bientôt une confirmation par courriel."
"Go to my account", "Accéder à mon Compte"
"You already have an account with us. You can enter password to login or continue as guest.", "Vous avez déjà un compte chez nous. Vous pouvez entrer le mot de passe pour vous connecter ou continuer en tant qu'invité."
"Print Order ", "Ordre d'impression"
"Please enter a valid email address (Ex: johndoe@domain.com).","Veuillez renseigner une adresse email valide (ex : johndoe@domain.com)."
"Our family tea company is built on the philosophy that business is a matter of human
                     service. Did you know that your order is helping to change the lives of the underprivileged and help
                     promote sustainability? Learn more about the work we do - ", "Notre compagnie de thé de famille est construite sur la philosophie que les affaires sont une question d'humain
                                                                                                       un service. Saviez-vous que votre commande aide à changer la vie des personnes défavorisées et aide
                                                                                                       Promouvoir la durabilité? En savoir plus sur le travail que nous faisons"
"Connect With Us", "Connecte-toi avec nous"
"Connect, follow and have a conversation with us.", "Connectez-vous, suivez et discutez avec nous."
"Secure Shopping", "Achats sécurisés"
"We provide you with the safest, most secure shopping experience possible", "Nous vous offrons l'expérience de magasinage la plus sûre et la plus sûre possible"
"Sitemap", "Plan du site"
"Privacy Policy", "Mentions légales"
"Terms &amp; Conditions", "CGV"
"Security", "La sécurité"
"Welcome to the Dilmah family! Your account has been created and you are now officially a part of the Dilmah Online Tea Boutique fold.", "Bienvenue dans la grande famille Dilmah ! Votre compte est désormais créé et vous êtes maintenant officiellement membre du Tea Club Dilmah."
"Account Registration", "Confirmation de création de compte"
"Any questions regarding your account, click 'Reply' in your email client and we'll be more than happy to help!", "Si vous avez la moindre question concernant votre compte, cliquez sur « Répondre » à ce mail et nous nous ferons un plaisir de vous venir en aide."
"Password Reset", "Réinitialisation du mot de passe"
"View All", "Voir tout"
"Recommended Time of The Day", "Moment idéal"
"First name", "Prénom"
"Last name", "Nom"
"Phone number", "Téléphone"
"Order number", "Numéro de commande"
"Your topic", "Thématique"
"Select your topic", "Sélectionnez votre thématique"
"Write your message ...", "Ecrivez votre message"
"Sign up to receive our Newsletter", "Inscrivez-vous pour recevoir notre newsletter"
"Confirm acceptance of our", "J'accepte la"
"Privacy Policy", "politique de confidentialité"
"Send My Message", "Envoyer mon message"
"Wish List Name", "Nom de ma liste d'envies"
"Public Wish List", "Liste publique"
"My Wish Lists", "Mes listes d'envies"
"Private Wish List", "Liste privée"
"Gift Card", "Carte-cadeau"
"Enter gift card code", "Entrer le code de carte-cadeau"
"Redeem Gift Card", "Utiliser la carte-cadeau"
"Check status and balance", "Vérifier le statut et le solde"
"Thank you for your recent tea purchase.", "Merci pour votre récent achat de thé."
"Shipping Confirmation", "Confirmation d'expédition"
"Order Confirmation", "Confirmation de commande"
"Your order number is %1.", "Votre numéro de commande est %1."
"My Wishlist", "Mes listes d'envies"
"Company (Optional)", "Société (facultatif)"
"City/ Suburb", "Ville"
"Postcode", "Code postal"
"Cart Subtotal","Sous-total"
