"Register","Registreer"
"Hi,","Hi,"
"Logout","Uitloggen"
"You are signed out","Je bent uitgelogd"
"You are signed out.","Je bent uitgelogd."
"You have signed out and will go to our homepage in 5 seconds.","Je bent uitgelogd en wordt binnen 5 seconden doorverwezen naar de homepage"
"You have no items in your shopping cart.","Je hebt geen producten in je winkelwagen."
"You added %1 to your shopping cart.","Je hebt %1 aan je winkelwagen toegevoegd."
"Quantity","Hoeveelheid"
"Remove","Verwijder"
"Edit cart","Bewerk winkelwagen"
"Edit Cart","Bewerk Winkelwagen"
"Checkout with Paypal","Afrekenen met Paypal"
"Checkout with PayPal","Afrekenen met Paypal"
"Checkout","Afrekenen"
"Are you sure you would like to remove this item from the shopping cart?","Weet je zeker dat je dit product uit je winkelwagen wilt verwijderen?"
"Cancel","Annuleer"
"Ok","Ok"
"Close","Sluit"
"Black tea","Zwarte thee"
"Flavoured Tea","Gearomatiseerde zwarte thee"
"Chai Tea","Chai thee"
"Herbal Tea","Kruiden thee"
"Oolong Tea","Oolong thee"
"White Tea","Witte thee"
"Green Tea","Groene thee"
"Organic tea","Biologische thee"
"Search entire store here...","Typ hier om te zoeken"
"begin typing to search","typ hier om te zoeken"
"Tea Ranges","Thee lijnen"
"Tea Ranges", "Thee lijnen"
"Exceptional Range","Exceptional"
"Single Region Selection","Single Region Selectie"
"Fun Tea Selection","Fun tea"
"Natural Green Tea Selection","Groene thee"
"Infusion","Kruiden thee"
"Decaffeinated Tea","Decaf thee"
"t-Series, Designer Gourmet Teas","t-Series"
"Ceylon Silver tips","Ceylon Silver Tips"
"Ceylon Green Tea","Ceylon Groene thee"
"On Sale","Aanbieding"
"New Arrival","Nieuw product"
"See All","Bekijk alles"
"Gifts","Kadosets"
"Gift of Tea","Gift of tea"
"Tea Vouchers","Thee coupon"
"Accessories","Accessoires"
"Books","Boeken"
"Promotions","Aanbiedingen"
"Tea Club","Tea Club"
"Featured Teas & Products","Aanbevolen producten"
"Grams","Gram"
"Add to Cart","Voeg toe aan winkelwagen"
"1 item","1 product"
"Items %1-%2 of %3","Products %1-%2 of %3"
"%1 Item","%1 Product"
"%1 Item(s)","%1 Product(s)"
"Tea Accessories","Thee accessoires"
"Shop Now","Bekijk"
"Join Now","Bezoek"
"Word On The Street","Testemonials"
"The Single Origin Tea 100% Pure Ceylon","De Single Origin thee - 100% pure Ceylonthee"
"Read More","Lees meer"
"About Us","Over ons"
"The story behind Dilmah","Het verhaal achter Dilmah"
"Innovation","Innovatie in thee"
"Merrill J. Fernando, a life of tea","Dilmah's oprichter"
"Dilmah Story","Over Dilmah"
"Dilmah Difference","Dilmah is uniek"
"Testimonials","Testemonials"
"MJF Foundation","MJF Foundation"
"Dilmah Conservation","Dilmah Conservation"
"Real High Tea Challenge","Real High Tea Challenge"
"Pressroom","Pressroom"
"Dilmah Tea Estates","Dilmah's thee plantages"
"Publication","Publicaties"
"School of Tea","School of Tea"
"News and Events","Nieuws en evenementen"
"Customer Services","Klanten service"
"Shipping & Delivery","Verzending & bezorging"
"FAQ","Veel gestelde vragen"
"Contact Us","Neem contact met ons op"
"Shop","Zoek thee"
"By Range","Per lijn"
"View All","Bekijk alles"
"Connect With Us","Connect With Us"
"Connect, follow and have a conversation with us.","Volg ons op een van onze sociale kanalen"
"Keep In Touch","Aanmelden nieuwsbrief"
"Enter Your email address","E-mailadres"
"Enter your email address","E-mailadres"
"Subscribe","Aanmelden"
"Thank you for your subscription","Bedankt voor je aanmelding"
"Something went wrong with the subscription.","Oeps, er ging iets verkeerd met je aanmelding"
"Secure Shopping","Veilig winkelen"
"We provide you with the safest, most secure shopping experience possible","We doen er alles aan om een veilige online omgeving voor je te creëren"
"Sitemap","Website overzicht"
"Privacy Policy","Privacy statement"
"Terms & Conditions","Algemene voorwaarden"
